price,name,location,bedroom,bathroom,land_area,building_area
200.0,"HOT LISTING! Rumah Untuk Investasi di Pakis, LT 78m² Bangunan 78m²",Surabaya,2,1,78,78
200.0,"Rumah Eksklusif lokasi Jambangan, Surabaya, Luas 72m² LB 70m²","Jambangan, Surabaya",2,1,72,70
200.0,"Rumah 3 KT 1 KM View Laut di Surabaya Kota, Surabaya",Surabaya,3,1,152,150
200.0,"Rumah di Surabaya Kota, Surabaya, LT 78m² LB 75m² - SEGERA MILIKI!",Surabaya,2,1,78,75
235.0,"Rumah Siap Pakai di Surabaya Kota, Surabaya, LT 69m² LB 65m²",Surabaya,2,1,69,65
241.0,"DIJUAL CEPAT! Rumah Ready Stock Lokasi Premium Gununganyar, Luas 84m² LB 52m²",Surabaya,2,1,84,52
247.0,Lelang Aset Surabaya Di Menganti Di Taman Menganti Mas,"Menganti, Gresik",2,1,90,78
250.0,"BEST CHOICE! Rumah di Surabaya Kota, Luas 79m² LB 120m²",Surabaya,4,2,79,120
250.0,Disewakan rumah baru renovasi ISEN,Surabaya,3,3,414,300
250.0,"HOT LISTING! Rumah Ready Stock di Gundih, Surabaya, LT 79m² Bangunan 40m²",Surabaya,2,1,79,40
250.0,Dijual Cepat Rumah Di Tanggulangin,"Sidoarjo, Sidoarjo",2,1,72,72
250.0,Disewakan Rumah Di International Village 1 Hook,Surabaya,3,3,430,600
250.0,"Rumah di Kawasan Surabaya Kota, Lingkungan Elite 2 KT",Surabaya,2,1,72,56
255.0,"LISTING BARU! Rumah Strategis di Surabaya Kota, LT 149m² LB 149m²",Surabaya,2,1,149,149
260.0,"Rumah Lokasi Strategis di Sawahan, Surabaya, LT 78m² Bangunan 78m²","Sawahan, Surabaya",2,1,78,78
260.0,Lelang Aset Surabaya Di Menganti Di Menganti Permai,"Menganti, Gresik",2,1,94,64
265.0,"Rumah Baru Mungil 1 Lantai Dukuh Setro, Tambaksari, Kenjeran, Suramadu","Tambaksari, Surabaya",1,1,24,24
268.0,"Rumah Shm, Minimalis, Muraaah, Hanya 200jt an, Mepet Sby Barat","Menganti, Gresik",2,1,48,36
270.0,Rumah Modern Futuristik Kedamean Gresik Barat Surabaya,"Wringinanom, Gresik",2,1,60,32
270.0,Rumah Minimalis 100meter saja ke Raya Mulyosari,Surabaya,2,2,21,40
275.0,Rumah Menganti Baru Gress Hot Listing Langka Murah Cepat Gresik,"Menganti, Gresik",2,1,48,36
275.0,"Jual Segera Rumah LT 22m² / LB 40m² di Jantung Kota Kenjeran, Surabaya","Kenjeran, Surabaya",2,1,22,40
280.0,RUMAH BARU SURABAYA TIMUR MULYOSARI MULYOREJO DAN SEMOLOWARU SEMOLO,"Mulyorejo, Surabaya",2,2,21,42
