Location,Latitude,Longitude
"Lidah Wetan, Surabaya",-7.3034214,112.6671884
"Gununganyar, Surabaya",-7.3371756,112.8036477
"Cerme, Gresik",-7.2242503,112.5707953
"Tandes, Surabaya",-7.2588965,112.6870227
"Margorejo, Surabaya",-7.3143789,112.7345551
"Tulangan, Sidoarjo",-7.476167,112.6471611
"Middle East Ring Road, Surabaya",-7.3314854,112.7812479
"Kenjeran, Surabaya",-7.22023,112.771611
"Wiyung, Surabaya",-7.3085679,112.6933143
"Gedangan, Sidoarjo",-7.3889859,112.7285913
"Wonoayu, Sidoarjo",-7.4281108,112.6277552
"Wisata Bukit Mas, Surabaya",-7.3132072,112.6646688
"Citraland, Surabaya",-7.2874299,112.6408969
"Medokan Ayu, Surabaya",-7.3256915,112.8008963
"Keputih, Surabaya",-7.2887163,112.8140064
"Pondok Tjandra, Sidoarjo",-7.348242,112.7839091
Surabaya,-7.2462836,112.7377674
Gresik,-5.7933465,112.6598223
"Tambaksari, Surabaya",-7.2510918,112.7674952
"Wringinanom, Gresik",-7.3898854,112.5205706
"Sutorejo, Surabaya",-7.2615398,112.7878891
"Semolowaru, Surabaya",-7.3004075,112.7812994
"Kebonsari, Surabaya",-7.3274816,112.715985
"Lakarsantri, Surabaya",-7.312189,112.6549352
"Panjang Jiwo, Surabaya",-7.3121667,112.7614965
"Taman, Sidoarjo",-7.3631369,112.675662
"Wonocolo, Surabaya",-7.3251026,112.7380671
"Menganti, Surabaya",-7.3100018,112.6783078
"Waru, Sidoarjo",-7.3526552,112.7294182
"Dukuh Pakis, Surabaya",-7.2915953,112.6872242
"Petemon, Surabaya",-7.2613953,112.7184525
"Dharma Husada, Surabaya",-7.2744956,112.7752113
"Raya Darmo, Surabaya",-7.3034328,112.7030672
"Bubutan, Surabaya",-7.246596,112.7317999
"Gayungan, Surabaya",-7.3281021,112.7249523
"Menganti, Gresik",-7.3028931,112.5828799
"Mulyorejo, Surabaya",-7.2679773,112.793519
"Krembangan, Surabaya",-7.2266832,112.7187326
"Tenggilis Mejoyo, Surabaya",-7.3238589,112.7522835
"Pakis, Surabaya",-7.2864046,112.7226443
"Benowo, Surabaya",-7.2339099,112.6152676
"Tanggulangin, Sidoarjo",-7.5056422,112.7312468
"Kedung Baruk, Surabaya",-7.3158432,112.7766453
"Gubeng, Surabaya",-7.2725255,112.7489564
"Bulak, Surabaya",-7.2283541,112.7876305
"Manukan, Surabaya",-7.2466469,112.6695467
"Jambangan, Surabaya",-7.3243305,112.7157207
"Wonorejo, Surabaya",-7.3102812,112.815267
"Kebomas, Gresik",-7.1702337,112.6287178
"Pakuwon Indah, Surabaya",-7.2926206,112.6655889
"Banyu Urip, Surabaya",-7.2721443,112.7195078
"Kutisari, Surabaya",-7.3359221,112.7483208
"Sukodono, Sidoarjo",-7.398796,112.6638331
"Karangpilang, Surabaya",-7.3360779,112.6843187
"Rungkut Industri, Surabaya",-7.3311743,112.757072
"Babatan, Surabaya",-7.3033931,112.6798101
"Darmo Permai, Surabaya",-7.2843022,112.6927148
"Mulyosari, Surabaya",-7.2605417,112.7987569
"Wonokromo, Surabaya",-7.3020554,112.7392222
"Genteng, Surabaya",-7.2604985,112.745174
"Pakuwon, Surabaya",-7.28906,112.6756078
"Ketintang, Surabaya",-7.3167838,112.7291732
"Pakal, Surabaya",-7.2258253,112.6157882
"Manyar, Gresik",-7.1239828,112.6062529
"Sukolilo, Surabaya",-7.2929641,112.7864133
"Kedamean, Gresik",-7.3251831,112.5594405
"Lidah Kulon, Surabaya",-7.2997151,112.6555062
"Kapasan, Surabaya",-7.242414,112.7513101
"Tegalsari, Surabaya",-7.2743465,112.7325788
"Wadungasri, Sidoarjo",-7.3444812,112.7687099
"Nginden, Surabaya",-7.3041049,112.7673107
"Simokerto, Surabaya",-7.2397535,112.7534931
"Driyorejo, Gresik",-7.3654117,112.6017226
"Sambikerep, Surabaya",-7.2750971,112.6563029
"Manyar, Surabaya",-7.2979645,112.7622385
"Sawahan, Surabaya",-7.2737953,112.7178855
"Mojoarum, Surabaya",-7.2652726,112.7762325
"Kebraon, Surabaya",-7.3296178,112.7004257
"Rungkut, Surabaya",-7.3197324,112.7905362
"Simomulyo, Surabaya",-7.2608289,112.7109621
"Candi, Sidoarjo",-7.4853909,112.726104
"Krian, Sidoarjo",-7.4029628,112.5894904
"Prambon, Sidoarjo",-7.4683648,112.5819621
"Sedati, Sidoarjo",-7.4076356,112.7975915
"Dukuh Kupang, Surabaya",-7.281807,112.7099956
Sidoarjo,-7.4559741,112.6608877
"Jemursari, Surabaya",-7.3289915,112.731446
"Graha, Surabaya",-7.2702376,112.7511751
"Kendangsari, Surabaya",-7.3244083,112.7497263
"Balongbendo, Sidoarjo",-7.4184556,112.5298174
"Sukomanunggal, Surabaya",-7.2708595,112.6984348
"Buduran, Sidoarjo",-7.4277784,112.722965
"Semampir, Surabaya",-7.2195029,112.7489458
"Pakuwon City, Surabaya",-7.2746047,112.8104418
