price,name,location,bedroom,bathroom,land_area,building_area
"Rp 1,68 Miliar",Rumah Baru Gress Daerah Merr Dan Jalan Kembar Rungkut Asri,"Rungkut, Surabaya",3,3,67 m²,120 m²
Rp 950 Juta,Jual Rumah 2 Lantai Medokan Ayu Utara,"Medokan Ayu, Surabaya",3,3,72 m²,140 m²
Rp 500 Juta,Rumah Dekat Merr 500juta Di Wonorejo Rungkut,"Wonorejo, Surabaya",2,1,30 m²,36 m²
Rp 950 Juta,Cluster Baru Mewah Dekat Merr Oerr Dan Kampus,"Sukolilo, Surabaya",2,2,50 m²,55 m²
Rp 600 Juta,Perumahan Murah Kebraon Surabaya Selatan,"Kebraon, Surabaya",2,1,50 m²,56 m²
"Rp 1,51 Miliar",Rumah Ready Unit 2 Lantai Raya Prapen Surabaya Selatan,"Tenggilis Mejoyo, Surabaya",3,2,50 m²,61 m²
"Rp 1,65 Miliar","‼️CASH ONLY‼️FULL FURNISHED, BAWA KOPER!! RUMAH MULYOSARI MODERN MINIMALIS BAGUS TERAWAT SIAP HUNI. Row Jalan 3 Mobil. Hadap Selatan. Dekat Unair, Its, Kwk, Uwm, Merr, Galaxy Mall, Pakuwon City","Mulyosari, Surabaya",4,3,120 m²,200 m²
Rp 630 Juta,Rumah Di Pusat Kota Sidoarjo.. Konsep American Style.. Dp 0%.,"Sidoarjo, Surabaya",2,1,72 m²,38 m²
"Rp 1,9 Miliar",Rumah 2 Lantai Murah Strategis Dharma Husada Mas Surabaya Timur,"Mulyorejo, Surabaya",3,3,120 m²,200 m²
"Rp 1,02 Miliar",Green Mansion Regency Lontar SHM 3 Bedrooms Hadap Timur Semi Furnish,"Sambikerep, Surabaya",3,2,78 m²,140 m²
Rp 900 Juta,Rumah Mewah 2 Lantai Perumahan Nginden Intan,"Nginden, Surabaya",3,2,48 m²,70 m²
Rp 770 Juta,Rumah Mewah 2 Lantai Perum Wiguna,"Gununganyar, Surabaya",3,2,56 m²,75 m²
"Rp 1,8 Miliar","‼️JUAL CEPAT ‼️ RUMAH CANTIK SEMI FURNISHED PERUMNAS GAYUNGAN KETINTANG. TERAWAT SIAP HUNI. ROW JALAN 2,5 MOBIL. HADAP BARAT.","Ketintang, Surabaya",3,2,183 m²,150 m²
"Rp 1,48 Miliar","Rumah Baru Jalan Kembar Rungkut Asri, Daerah Merr","Rungkut, Surabaya",3,3,57 m²,100 m²
"Rp 1,39 Miliar","Rumah Siap Huni di Purimas Semi Furnished, Nol Jalan Raya Merr.","Rungkut, Surabaya",3,2,72 m²,140 m²
"Rp 1,8 Miliar","Rumah 2 Lantai Siap Huni Di Rungkut Asri Tengah, Surabaya","Rungkut, Surabaya",3,4,100 m²,130 m²
"Rp 1,39 Miliar","Dijual Rumah Siap Huni Purimas Rungkut Surabaya, SHM - Sertifikat Hak Milik","Rungkut, Surabaya",3,2,72 m²,140 m²
"Rp 1,65 Miliar",Property Surabaya Di Rungkut Mapan Tengah,"Rungkut, Surabaya",5,4,220 m²,240 m²
"Rp 1,7 Miliar",Rumah Baru Modern Minimalsi Di Nirwana Eksekutif,"Rungkut, Surabaya",3,3,82 m²,140 m²
Rp 795 Juta,Rumah Modern Angsuran Murah Surabaya Barat,"Citraland, Surabaya",3,2,55 m²,65 m²
