price,name,location,bedroom,bathroom,land_area,building_area
1680,Rumah Baru Gress Daerah Merr Dan Jalan Kembar Rungkut Asri,"Rungkut, Surabaya",3,3,67,120
950,Jual Rumah 2 Lantai Medokan Ayu Utara,"Medokan Ayu, Surabaya",3,3,72,140
500,Rumah Dekat Merr 500juta Di Wonorejo Rungkut,"Wonorejo, Surabaya",2,1,30,36
950,Cluster Baru Mewah Dekat Merr Oerr Dan Kampus,"Sukolilo, Surabaya",2,2,50,55
600,Perumahan Murah Kebraon Surabaya Selatan,"Kebraon, Surabaya",2,1,50,56
1510,Rumah Ready Unit 2 Lantai Raya Prapen Surabaya Selatan,"Tenggilis Mejoyo, Surabaya",3,2,50,61
1650,"‼️CASH ONLY‼️FULL FURNISHED, BAWA KOPER!! RUMAH MULYOSARI MODERN MINIMALIS BAGUS TERAWAT SIAP HUNI. Row Jalan 3 Mobil. Hadap Selatan. Dekat Unair, Its, Kwk, Uwm, Merr, Galaxy Mall, Pakuwon City","Mulyosari, Surabaya",4,3,120,200
1900,Rumah 2 Lantai Murah Strategis Dharma Husada Mas Surabaya Timur,"Mulyorejo, Surabaya",3,3,120,200
1020,Green Mansion Regency Lontar SHM 3 Bedrooms Hadap Timur Semi Furnish,"Sambikerep, Surabaya",3,2,78,140
900,Rumah Mewah 2 Lantai Perumahan Nginden Intan,"Nginden, Surabaya",3,2,48,70
770,Rumah Mewah 2 Lantai Perum Wiguna,"Gununganyar, Surabaya",3,2,56,75
1800,"‼️JUAL CEPAT ‼️ RUMAH CANTIK SEMI FURNISHED PERUMNAS GAYUNGAN KETINTANG. TERAWAT SIAP HUNI. ROW JALAN 2,5 MOBIL. HADAP BARAT.","Ketintang, Surabaya",3,2,183,150
1480,"Rumah Baru Jalan Kembar Rungkut Asri, Daerah Merr","Rungkut, Surabaya",3,3,57,100
1390,"Rumah Siap Huni di Purimas Semi Furnished, Nol Jalan Raya Merr.","Rungkut, Surabaya",3,2,72,140
1800,"Rumah 2 Lantai Siap Huni Di Rungkut Asri Tengah, Surabaya","Rungkut, Surabaya",3,4,100,130
1390,"Dijual Rumah Siap Huni Purimas Rungkut Surabaya, SHM - Sertifikat Hak Milik","Rungkut, Surabaya",3,2,72,140
1650,Property Surabaya Di Rungkut Mapan Tengah,"Rungkut, Surabaya",5,4,220,240
1700,Rumah Baru Modern Minimalsi Di Nirwana Eksekutif,"Rungkut, Surabaya",3,3,82,140
