"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp 480 Juta","Rumah Mewah Komplit Canopy Pagar Free","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp 388 Juta","Terdekat Citraland Surabaya Rumah Termurah Di Menganti","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp 371 Juta","Rumah Shm Luas Murah 300jtan No Banjir Perum Pinoa Indah Lestari.","Menganti, Gresik","2","1","72 m²","30 m²"
"Rp 650 Juta","Rumah 1 Lantai Asri Murah Meriah di Manyar Resort Gresik","Manyar, Gresik","2","1","91 m²","61 m²"
"Rp 1 Miliar","Rumah 2 Lantai Murah Bebas Banjir di Manyar Resort Gresik","Manyar, Gresik","3","1","150 m²","109 m²"
"Rp 470 Juta","Cukup Utj 500 Ribu,miliki Rumah Minimalis Menganti Gresik","Menganti, Gresik","2","1","60 m²","47 m²"
"Rp 600 Juta","Rumah Murah Aset BRI, Manyar, Kab. Gresik","Manyar, Gresik","2","1","452 m²","452 m²"
"Rp 800 Juta","Rumah Murah Aset BRI, Driyorejo, Kab. Gresik","Driyorejo, Gresik","4","2","96 m²","214 m²"
"Rp 400 Juta","Rumah Ready Unit Free Dp Start 400jt Jl. Propinsi Menganti Gresik","Menganti, Gresik","2","1","90 m²","36 m²"
"Rp 632 Juta","2 Lantai 3 Kamar Tidur Murah Poool 2 Kamar Mandi Rumah Mewah Harga Termurah Di Barat Surabaya","Menganti, Gresik","3","2","60 m²","65 m²"
"Rp 470 Juta","Dekat Citraland Surabaya Termurah Rumah Modern SHM","Menganti, Gresik","2","1","72 m²","40 m²"
"Rp 388 Juta","Rumah Dijual Barat Surabaya 300 Jutaan Angs 2 Jtan 5 Menit Pasar Menganti","Menganti, Gresik","2","1","60 m²","36 m²"
"Rp 450 Juta","rumah murah dan bagus di perum driyorejo kota baru, jl. batu safir 1 blok jh no. 24 ds. mulung kec. driyorejo kab. gresik","Driyorejo, Gresik","2","1","110 m²","80 m²"
"Rp 600 Juta","Rumah Murah Jade Hamlet Menganti Gresik","Menganti, Gresik","3","2","112 m²","75 m²"
"Rp 1,9 Miliar","Rumah Pesona Wahidin Regency Gresik","Kebomas, Gresik","4","2","165 m²","165 m²"
"Rp 395 Juta","Rumah 1 Lantai Gresik Kota 0 Jalan Raya Kebomas","Gresik Kota, Gresik","2","1","60 m²","36 m²"
"Rp 750 Juta","Rumah Shm 2 Lantai Di Perumahan Mewah","Menganti, Gresik","3","2","96 m²","133 m²"
"Rp 355 Juta","Perumahan Murah Angsuran Bersubsidi Fasilitas Terlengkap","Driyorejo, Gresik","2","1","60 m²","36 m²"
"Rp 800 Juta","Jual Murah Rumah 1,5 Lantai Di Perumahan Mewah Menganti","Menganti, Gresik","2","1","90 m²","120 m²"
"Rp 325 Juta","Rumah Mewah Murah Dekat Puskesmas Menganti","Menganti, Gresik","2","1","90 m²","60 m²"
"Rp 470 Juta","Rumah Mewah Fasilitas Lengkap Dp 0 Lokasi Menganti","Menganti, Gresik","3","2","60 m²","65 m²"
"Rp 800 Juta","Rumah 2 Lantai Dijual Murah Banget Harga Di Bawah Developer","Menganti, Gresik","2","2","75 m²","276 m²"
"Rp 387 Juta","Rumah Dijual Gresik SHM 300 Jutaan Cicilan 2 Jutaan Menganti","Menganti, Gresik","2","1","60 m²","34 m²"
"Rp 625 Juta","Rumah dijual taman wisata regency","Driyorejo, Gresik","2","1","72 m²","60 m²"
"Rp 1,25 Miliar","Perumahan bumi cemara wangi","Menganti, Gresik","5","2","144 m²","144 m²"
"Rp 5,5 Miliar","rumah bonus ruko raya menganti","Menganti, Gresik","7","3","432 m²","350 m²"
"Rp 3,3 Miliar","Dijual Rumah Kantor Yang Asri Daerah Menganti","Menganti, Gresik","1","3","441 m²","120 m²"
"Rp 1,5 Miliar","Dijual Rumah 2lt Di Kotabaru Driyorejo Gresik","Driyorejo, Gresik","8","6","153 m²","170 m²"
"Rp 320 Juta","Dijual Rmh 1lt Asli Perum Golden Berry Menganti Gresik","Menganti, Gresik","2","1","70 m²","40 m²"
"Rp 800 Juta","Dijual Rumah 1,5 Lt Di Menganti Puri Safira Regency","Menganti, Gresik","2","1","90 m²","120 m²"
"Rp 3,3 Miliar","Dijual Rumah Kantor 1 Lt Di Menganti Gresik","Menganti, Gresik","1","3","441 m²","120 m²"
"Rp 600 Juta","Jual Rugi Rumah Jade Hamlet Menganti Gresik Belum Pernah Dihuni 8x14 3KT Murah 600jt Nego","Menganti, Gresik","3","2","112 m²","75 m²"
"Rp 1,65 Miliar","0416.49 Lelang Gudang Gresik Di Driyorejo Di Merapi","Driyorejo, Gresik","2","1","772 m²","772 m²"
"Rp 300 Juta","Rumah Baru Free Dp Start 300jt Nol Jalan Raya Kedamean Gresik","Kedamean, Gresik","2","1","60 m²","36 m²"
"Rp 300 Juta","Rumah Baru Ready Ato Indent Unit Start 300jt Di Menganti Gresik","Menganti, Gresik","2","1","60 m²","35 m²"
