price,bedroom,bathroom,land_area,building_area,location
1680.0,3,3,67,120,"Rungkut, Surabaya"
950.0,3,3,72,140,"Medokan Ayu, Surabaya"
500.0,2,1,30,36,"Wonorejo, Surabaya"
950.0,2,2,50,55,"Sukolilo, Surabaya"
600.0,2,1,50,56,"Kebraon, Surabaya"
1510.0,3,2,50,61,"Tenggilis Mejoyo, Surabaya"
1650.0,4,3,120,200,"Mulyosari, Surabaya"
630.0,2,1,72,38,"Sidoarjo, Surabaya"
1900.0,3,3,120,200,"Mulyorejo, Surabaya"
1020.0,3,2,78,140,"Sambikerep, Surabaya"
900.0,3,2,48,70,"Nginden, Surabaya"
770.0,3,2,56,75,"Gununganyar, Surabaya"
1800.0,3,2,183,150,"Ketintang, Surabaya"
1480.0,3,3,57,100,"Rungkut, Surabaya"
1390.0,3,2,72,140,"Rungkut, Surabaya"
1800.0,3,4,100,130,"Rungkut, Surabaya"
1700.0,3,3,82,140,"Rungkut, Surabaya"
795.0,3,2,55,65,"Citraland, Surabaya"
799.0,2,1,84,56,"Citraland, Surabaya"
1980.0,4,3,120,140,"Citraland, Surabaya"
1690.0,2,1,120,100,"Citraland, Surabaya"
900.0,3,2,120,100,"Sidoarjo, Sidoarjo"
875.0,3,2,104,94,"Rungkut, Surabaya"
1400.0,3,2,72,140,"Surabaya Kota, Surabaya"
875.0,3,1,100,58,"Rungkut, Surabaya"
875.0,3,2,104,94,"Medokan Ayu, Surabaya"
426.0,2,1,72,36,"Citraland, Surabaya"
567.0,2,1,185,120,"Rungkut, Surabaya"
710.0,3,2,46,70,"Wonorejo, Surabaya"
815.0,3,1,90,57,"Rungkut, Surabaya"
1580.0,3,3,100,120,"Surabaya Kota, Surabaya"
1350.0,3,2,100,110,"Rungkut, Surabaya"
1300.0,3,2,126,130,"Wiyung, Surabaya"
1590.0,3,3,144,105,"Wiyung, Surabaya"
900.0,3,2,91,95,"Rungkut, Surabaya"
1400.0,3,2,135,100,"Wiyung, Surabaya"
950.0,2,1,90,110,"Citraland, Surabaya"
510.0,2,1,72,30,"Rungkut, Surabaya"
575.0,3,2,45,90,"Rungkut, Surabaya"
1450.0,3,2,90,80,"Sidoarjo, Sidoarjo"
1500.0,4,2,157,157,"Mulyorejo, Surabaya"
1450.0,4,3,113,120,"Surabaya Kota, Surabaya"
1900.0,3,3,120,200,"Surabaya Kota, Surabaya"
1880.0,3,2,175,120,"Pakuwon City, Surabaya"
1300.0,3,2,50,61,"Surabaya Kota, Surabaya"
420.0,3,2,56,112,"Benowo, Surabaya"
670.0,2,1,50,30,"Kebraon, Surabaya"
1570.0,3,3,72,85,"Pakuwon City, Surabaya"
900.0,3,2,91,95,"Medokan Ayu, Surabaya"
755.0,2,2,95,95,"Wonorejo, Surabaya"
470.0,2,2,28,55,"Rungkut, Surabaya"
1290.0,3,3,60,111,"Wiyung, Surabaya"
1600.0,4,3,75,99,"Surabaya Kota, Surabaya"
1390.0,3,2,50,88,"Tenggilis Mejoyo, Surabaya"
1800.0,3,2,183,183,"Gayungan, Surabaya"
1200.0,2,1,78,50,"Pakuwon City, Surabaya"
1950.0,3,3,82,123,"Semolowaru, Surabaya"
1590.0,2,1,84,45,"Sidoarjo, Sidoarjo"
2000.0,3,2,162,125,"Wisata Bukit Mas, Surabaya"
1100.0,2,2,96,64,"Sidoarjo, Sidoarjo"
1500.0,2,1,155,155,"Sidoarjo, Sidoarjo"
1900.0,4,3,81,130,"Nginden, Surabaya"
1750.0,3,2,162,125,"Lakarsantri, Surabaya"
1500.0,3,2,140,150,"Rungkut, Surabaya"
502.0,1,1,180,150,"Sidoarjo, Sidoarjo"
1200.0,2,1,200,200,"Sukolilo, Surabaya"
211.0,1,1,60,60,"Menganti, Surabaya"
350.0,2,1,100,100,"Kenjeran, Surabaya"
200.0,2,1,39,39,"Bubutan, Surabaya"
1100.0,3,2,96,150,"Mulyorejo, Surabaya"
825.0,3,2,144,49,"Sidoarjo, Sidoarjo"
1800.0,3,2,200,136,"Rungkut, Surabaya"
1700.0,4,2,112,150,"Pakuwon City, Surabaya"
800.0,2,1,120,100,"Lakarsantri, Surabaya"
1560.0,3,3,126,180,"Sidoarjo, Sidoarjo"
1390.0,3,3,63,99,"Surabaya Kota, Surabaya"
600.0,2,1,50,40,"Medokan Ayu, Surabaya"
1260.0,3,2,90,85,"Medokan Ayu, Surabaya"
1350.0,3,3,70,125,"Wiyung, Surabaya"
1750.0,3,3,75,123,"Kutisari, Surabaya"
750.0,2,1,111,70,"Sidoarjo, Sidoarjo"
1300.0,3,2,70,70,"Sukolilo, Surabaya"
950.0,1,1,104,90,"Petemon, Surabaya"
1650.0,3,3,99,147,"Rungkut, Surabaya"
1990.0,4,3,96,160,"Kenjeran, Surabaya"
1750.0,4,2,91,100,"Pakuwon City, Surabaya"
709.0,3,2,40,55,"Rungkut, Surabaya"
900.0,3,3,55,90,"Surabaya Kota, Surabaya"
1300.0,2,2,101,63,"Pakuwon Indah, Surabaya"
1200.0,3,2,100,57,"Surabaya Kota, Surabaya"
900.0,2,2,72,131,"Wiyung, Surabaya"
1900.0,3,3,120,160,"Surabaya Kota, Surabaya"
1700.0,3,2,72,84,"Pakuwon City, Surabaya"
1950.0,1,1,78,60,"Pakuwon City, Surabaya"
825.0,2,1,72,46,"Citraland, Surabaya"
835.0,3,1,75,55,"Kebraon, Surabaya"
1550.0,4,3,150,180,"Medokan Ayu, Surabaya"
1100.0,3,2,50,80,"Rungkut, Surabaya"
450.0,2,1,72,36,"Sidoarjo, Sidoarjo"
837.0,2,1,120,120,"Sidoarjo, Sidoarjo"
1060.0,2,1,92,92,"Sidoarjo, Sidoarjo"
1650.0,3,2,91,120,"Pakuwon City, Surabaya"
750.0,3,2,40,65,"Rungkut, Surabaya"
1200.0,3,3,101,180,"Wiyung, Surabaya"
