"price","name","location","bedroom","bathroom","land_area","building_area"
"Rp 447 Juta","Rumah Baru 2 Lantai Sukodono Jumputrejo Harga Dibawah 500jt Rumah Bagus SHM di Sukodono","Sukodono, Sidoarjo","2","2","60 m²","50 m²"
"Rp 825 Juta","Rumah Pojok Asri, Sidoarjo","Buduran, Sidoarjo","2","2","120 m²","40 m²"
"Rp 1,16 Miliar","Rumah Murah Strategis Dekat Bandara Juanda Surabaya Dan Akses Tol","Sedati, Sidoarjo","3","2","72 m²","90 m²"
"Rp 443 Juta","Perumahan Start Mega Jumputrejo Sukodono","Sukodono, Sidoarjo","2","1","72 m²","45 m²"
"Rp 580 Juta","Rumah 1 Lantai Dan 2 Lantai Siap Huni Ditengah Kota Sidoarjo","Sidoarjo, Sidoarjo","4","3","90 m²","83 m²"
"Rp 1,1 Miliar","Bu Cepat!!! Dijual Rumah Di Cluster Kahuripan Park, Dekat Tol Sidoarjo","Sidoarjo, Sidoarjo","2","2","96 m²","64 m²"
"Rp 900 Juta","Jual Cepat!!! Termurah Di Puri Surya Jaya (depan) Gedangan Sidoarjo. Bagus Terawat Siap Huni Dengan Row Jalan 2,5 Mobil. Hadap Utara.","Sidoarjo, Sidoarjo","3","2","120 m²","100 m²"
"Rp 875 Juta","Tanpa Dp Rumah Baru Gress Eropa Modern 1 Menit Dari Raya Jenggolo","Sidoarjo, Sidoarjo","3","2","77 m²","80 m²"
"Rp 450 Juta","Perumahan Griya Freya Damarsi Juanda Sidoarjo","Buduran, Sidoarjo","2","1","72 m²","36 m²"
"Rp 700 Juta","Rumah Baru 2 Lantai Jaya Harmoni Sidoarjo","Buduran, Sidoarjo","4","2","83 m²","80 m²"
"Rp 554 Juta","Dijual Rumah Baru Lokasi Buduran Sidoarjo Hrga 500 Jutaan Siap Huni","Sidokerto, Sidoarjo","2","1","96 m²","38 m²"
"Rp 1,59 Miliar","perumahan skandivian tropis di pusat kota sidoarjo dekat toll lippo dan lippo mall","Sidoarjo, Sidoarjo","2","1","84 m²","45 m²"
"Rp 1,47 Miliar","Rumah SHM di Wisma Bungurasih, Sidoarjo","Waru, Sidoarjo","3","3","100 m²","100 m²"
"Rp 903 Juta","Rumah Tinggal Perum Banjar Mukti Residence","Buduran, Sidoarjo","1","1","217 m²","66 m²"
"Rp 502 Juta","Rumah Lelang Permata Bank Sidoarjo, Jawa Timur","Sidoarjo, Sidoarjo","1","1","180 m²","150 m²"
"Rp 825 Juta","Harga Nego! Rumah 3kt Taman Pinang Indah Siap Huni","Sidoarjo, Sidoarjo","3","2","144 m²","49 m²"
"Rp 650 Juta","Rumah Dekat Surabaya 600juta.an Siap Huni Cepat Free Shm","Buduran, Sidoarjo","2","1","72 m²","43 m²"
"Rp 1,56 Miliar","Rumah Murah Private Pool Siap Huni Dekat Kahuripan Nirwana","Sidoarjo, Sidoarjo","3","3","126 m²","180 m²"
"Rp 2 Miliar","Rumah Baru Unimas Garden Regency Raya Imermotors","Waru, Sidoarjo","4","4","189 m²","220 m²"
"Rp 1,35 Miliar","Rumah Siap Huni Pondok Jati Sidoarjo","Waru, Sidoarjo","3","2","191 m²","70 m²"
"Rp 360 Juta","Jual Rumah Cepat Jaya Regency Sedati – Full Bangunan, Siap Huni!","Sedati, Sidoarjo","2","1","90 m²","90 m²"
"Rp 3,11 Miliar","EMA331 Dijual Rumah Bagus Unfurnished SHM di Central Park Juanda","Sedati, Sidoarjo","4","3","162 m²","185 m²"
"Rp 850 Juta","Rumah Shm Bagus Siap Huni Di Perumahan Grand Surya Sidoarjo","Buduran, Sidoarjo","3","1","120 m²","80 m²"
"Rp 480 Juta","Rumah Area Komersial Industri Buduran Sidoarjo","Buduran, Sidoarjo","3","1","126 m²","126 m²"
"Rp 1,15 Miliar","Rumah 1 Lantai di Delta Sari Sidoarjo Cluster Cassabella","Waru, Sidoarjo","2","1","150 m²","100 m²"
"Rp 1,35 Miliar","Rumah Pondok Candra","Sidoarjo, Sidoarjo","3","2","75 m²","130 m²"
"Rp 1,3 Miliar","Rumah siap huni Nanas 4 pondok chandra sidoarjo","Waru, Sidoarjo","3","3","157 m²","140 m²"
"Rp 315 Juta","Rumah Baru Murah Siap Huni Lokasi Dekat Ke Lippo Plaza Di Sidoarjo","Wonoayu, Sidoarjo","2","1","65 m²","30 m²"
"Rp 455 Juta","Rumah Dijual.baru Luas Siap Huni Di Sukodono, Sidoarjo","Sidoarjo, Sidoarjo","2","1","102 m²","60 m²"
"Rp 4 Miliar","Rumah Murah Aset Bri, Taman, Kab. Sidoarjo","Taman, Sidoarjo","3","2","240 m²","698 m²"
"Rp 972 Juta","Rumah Murah Aset BRI, Sidoarjo, Kab. Sidoarjo","Sidoarjo, Sidoarjo","2","2","122 m²","194 m²"
"Rp 1 Miliar","Rumah Murah Aset BRI, Buduran, Kab. Sidoarjo","Buduran, Sidoarjo","3","1","146 m²","143 m²"
"Rp 3 Miliar","Dijual Rumah Mewah Di Kahuripan Nirwana, Pusat Kota Sidoarjo","Sidoarjo, Sidoarjo","5","5","185 m²","182 m²"
"Rp 600 Juta","Griya Taman Asri Rumah Ready Unit Free Dp Dekat Mastrip Surabaya","Sidoarjo, Sidoarjo","2","1","72 m²","36 m²"
"Rp 1,5 Miliar","Rumah Shm Dan Full Perabotan Di Pondok Tjandra Cluster Emerald","Pondok Tjandra, Sidoarjo","4","2","120 m²","100 m²"
"Rp 500 Juta","Rumah Alana Cemandi Sidoarjo","Sidoarjo, Sidoarjo","2","1","73 m²","36 m²"
"Rp 775 Juta","Rumah Murah Dekat Juanda 2 Lantai 700juta.an","Buduran, Sidoarjo","3","2","90 m²","70 m²"
"Rp 3,7 Miliar","Rumah Di Puri Surya Jaya Cocok Bagi Hobi Motor dan Influencer","Gedangan, Sidoarjo","4","2","237 m²","460 m²"
"Rp 947 Juta","Rumah Tinggal Delta Anthurium","Waru, Sidoarjo","1","1","113 m²","54 m²"
