iter	Passed	Remaining
0	9	9079
1	16	8385
2	25	8520
3	34	8559
4	42	8423
5	54	8973
6	64	9164
7	76	9433
8	87	9655
9	96	9596
10	106	9573
11	115	9516112	125	9500
13	135	9547
14	143	9425
15	156	9635
16	166	9639
17	174	9546
18	184	9548
19	195	9601
20	207	9685
21	216	9637
22	225	9571
23	236	9614
24	246	9598
25	255	9554
26	264	9521
27	274	9522
28	284	9533
29	293	9493
30	300	9406
31	310	9391
32	319	9366
33	329	9356
34	339	9366
35	350	9391
36	360	9393
37	372	9426
38	381	9403
39	389	9359
40	397	9299
41	408	9314
42	416	9278
43	429	9337
44	439	9321
45	450	9339
46	462	9380
47	470	9337
48	481	9342
49	489	9300
50	498	9272
51	509	9297
52	519	9287
53	528	9266
54	539	9261
55	546	9206
56	557	9228
57	566	9204
58	578	9233
59	588	9226
60	599	9232
61	610	9242
62	619	9214
63	625	9148
64	638	9189
65	652	9238
66	666	9282
67	677	9288
68	690	9321
69	703	9352
70	714	9352
71	726	9358
72	737	9360
73	753	9426
74	762	9408
75	775	9430
76	791	9485
77	803	9501
78	820	9564
79	827	9511
80	844	9579
81	856	9587
82	872	9639
83	883	9636
84	894	9633
85	907	9644
86	919	9644
87	931	9650
88	939	9620
89	951	9624
90	958	9573
91	969	9567
92	979	9554
93	987	9518
94	995	9485
95	1003	9450
96	1012	9424
97	1021	9401
98	1030	9377
99	1042	9383
100	1050	9346
101	1058	9322
102	1065	9281
103	1076	9274
104	1086	9259
105	1095	9235
106	1101	9188
107	1109	9167
108	1116	9127
109	1122	9085
110	1131	9065
111	1139	9035
112	1149	9022
113	1158	9007
114	1168	8994
115	1176	8968
116	1186	8955
117	1196	8941
118	1206	8935
119	1214	8906
120	1225	8898
121	1232	8869
122	1240	8848
123	1249	8830
124	1262	8837
125	1271	8818
126	1279	8793
127	1287	8770
128	1296	8752
129	1304	8729
130	1312	8708
131	1321	8689
132	1329	8664
133	1337	8643
134	1345	8618
135	1354	86136136	1362	85137137	1370	85138138	1378	85139139	1387	8521
140	1395	8503
141	1406	8499
142	1415	8485
143	1424	8470
144	1432	8448
145	1438	84146146	1447	83147147	1453	83148148	1463	83149149	1469	83150150	1478	83151151	1487	83152152	1498	8296
153	1505	8268
154	1515	8263
155	1525	8251
156	1533	8232
157	1541	8216
158	1550	8200
159	1557	8177
160	1565	8160
161	1573	8141
162	1582	8123
163	1589	8100
164	1597	8082
165	1604	8062
166	1613	8050
167	1624	8043
168	1633	8034
169	1643	8022
170	1653	8014
171	1664	8013
172	1673	7998
173	1681	7982
174	1690	7969
175	1697	7947
176	1706	7933
177	1715	7920
178	1726	7920
179	1735	7906
180	1745	7897
181	1754	7883
182	1763	7872
183	1774	7868
184	1782	7850
185	1791	7839
186	1797	78187187	1807	78188188	1815	7790
18189	1826	778190	1832	7763
191	1842	7752
192	1850	7738
193	1860	7727
194	1870	7720
195	1877	7700
196	1886	7690
197	1894	7672
198	1903	7661
199	1912	7650
200	1922	7640
201	1930	7627
202	1939	7614
203	1947	7597
204	1956	7585
205	1963	7569
206	1970	7550
207	1977	7530
208	1985	75209209	1994	75210210	2004	7494
211	2009	74212212	2018	74213213	2027	74214214	2035	7421521215	2043	216216	2051	7421721217	2060	21821218	2067	21921219	2073	22022220	2081	221221	2088	7322222222	2102	22322223	2110	22422224	2120	22522225	2130	22622226	2140	227	2227	2151	22822228	2158	229	2229	2165	23023230	2173	23123231	2183	23223232	2192	23323233	2202	23423234	2210	23523235	2219	23623236	2228	23723237	2237	23823238	2247	23923239	2257	24024240	2265	24124241	2275	242242	2282	71243243	2291	71244244	2301	70245245	2309	70246246	2319	70247247	2327	70248248	2336	70249249	2346	70250250	2355	70251251	2364	7025225252	2374	253	2253	2383	254	2254	2392	25525255	2401	25625256	2410	257257	2417	69258258	2426	69259259	2437	69260260	2447	69261	2456	6918
262	2463	6904
263	2474	6898
264264	2478	68265	2488	6866
266	2497	6857
267	2506	6846
268268	2512	68269269	2520	68270270	2528	68271	2544	6811
272	2558	6814
273	2574	6821
274	2592	6834
275	2611	6850
276	2626	6855
277	2643	6866
278	2655	6861
279	2665	6855
280	2683	6867
281	2692	6856
282	2701	6844
283	2709	6831
284	2716	6815
285	2725	6803
286	2734	6792
287	2742	6780
288	2749	6764
289	2756	6748
290	2764	6735
291	2772	6722
292	2783	6716
293	2791	6703
294	2799	6691
295	2807	6677
296	2818	6670
297	2826	6659
298	2835	6648
299	2845	6640
300	2854	6628
301	2864	6621
302	2873	6610
303	2883	6601
304	2892	6591
305	2902	6583
306	2911	6572
307	2920	6562
308	2930	6552
309	2938	6540
310	2947	6530
311	2955	6516
312	2963	6504
313	2970	6490
314	2980	6482
315	2989	6470
316	2999	6461
317	3007	6450
318	3016	6439
319	3025	6428
320	3031	6411
321	3037	6395
322	3043	6379
323	3048	6361
324	3054	6344
325	3061	6330
326	3071	6320
327	3080	6310
328	3089	6302
329	3097	6288
330	3106	6279
331	3115	6268
332	3124	6258
333	3132	6246
334	3141	6236
335	3150	6225
336	3160	6216
337	3169	6207
338	3179	6199
339	3188	6189
340	3197	6179
341	3341	3201	342	3342	3210	343	3343	3220	344	3344	3227	345	3345	3236	346	3346	3244	347	3347	3252	348	3348	3261	349	3349	3272	350	3350	3282	351	3351	3288	352	3352	3296	353	3353	3307	354	3354	3316	355	3355	3327	356	3356	3334	357	3357	3345	358	3358	3355	359	3359	3364	360	3360	3373	361	3361	3383	362	3398	5962
363	3407	5953
364	3414	5941
365	3425	5933
366	3366	3429	367	3367	3436	368	3450	5899
369	3369	3454	370	3466	5877
371	3477	5870
372	3486	5860
373	3496	5852
374	3504	5841
375	3514	5832
376	3520	5818
377	3528	5806
378	3536	5794
379	3546	5786
380	3554	5774
381	3561	5762
382	3569	5750
383	3578	5740
384	3588	5732
385	3599	5725
386	3607	5714
387	3615	5703
388	3624	5693
389	3632	5681
390	3640	5670
391	3647	5657
392	3658	5650
393	3668	5641
394	3676	5631
395	3683	5617
396	3691	5607
397	3701	5598
398	3708	5586
399	3715	5573
400	3723	5562
401	3731	5550
402	3740	5540
403	3747	5528
404	3754	5516
405	3762	5504
406	3770	5493
407	3777	5481
408	3786	5472
409	3794	5459
410	3802	5449
411	3810	5437
412	3819	5429
413	3828	5418
414	3838	5410
415	3848	5402
416	3855	5390
417	3864	5381
418418	3871	53419	3884	5363
420	3893	5354
421	3901	5343
422422	3906	53423	3919	5324
424	3929	5316
425	3939	5307
426	3949	5299
427	3957	5289
428	3966	5279
429	3975	5269
430430	3980	52431431	3989	52432	4003	5242
433	4012	5232
434	4018	5219
435	4023	5204
436	4033	5195
437	4040	5184
438	4048	5174
439	4058	5165
440	4068	5156
441	4075	5145
442	4082	5133
443	4092	5124
444	4102	5117
445	4116	5112
446	4122	5099
447	4129	5088
448	4139	5080
449	4149	5071
