iter	RMSE
0	434.4492035
1	406.1281751
2	383.7518606
3	363.8917427
4	348.5993401
5	337.3197472
6	327.1903893
7	319.2265465
8	312.7769929
9	307.4280766
10	303.3500094
11	300.3327257
12	297.8960872
13	295.7227112
14	294.0260707
15	292.4438146
16	291.0619338
17	290.0244656
18	289.0593364
19	288.2090253
20	287.5144684
21	286.8073839
22	286.335549
23	285.6814957
24	285.5679906
25	285.1454842
26	284.6065712
27	284.3303725
28	283.9673614
29	283.6374158
30	283.1908101
31	283.0363743
32	282.7220993
33	282.0657503
34	281.8413087
35	281.6001924
36	281.3337662
37	281.1392454
38	280.9358712
39	280.6047247
40	280.4310302
41	280.2078959
42	279.9794031
43	279.7659292
44	279.6910258
45	279.2953002
46	279.1643436
47	278.9757606
48	278.7939037
49	278.5428008
50	278.3077227
51	278.2247662
52	278.1280072
53	277.8410378
54	277.4338043
55	277.2266206
56	276.7565251
57	276.455822
58	276.1358146
59	275.8381164
60	275.7347309
61	275.4510525
62	275.1506924
63	274.9316137
64	274.7507279
65	274.4626767
66	274.2114559
67	274.0399615
68	273.9706527
69	273.7326022
70	273.5400431
71	273.1727715
72	272.9827318
73	272.7470296
74	272.5425746
75	272.4277786
76	272.3058724
77	271.8203633
78	271.6735806
79	271.3919847
80	271.0618085
81	270.8669925
82	270.7482992
83	270.4056823
84	270.1270986
85	269.9313309
86	269.7541028
87	269.4991564
88	269.3745367
89	269.1978527
90	268.9293159
91	268.7622043
92	268.6174056
93	268.31336
94	268.0723866
95	268.0541466
96	267.7723887
97	267.6664228
98	267.5230973
99	267.2718385
100	266.998907
101	266.9908954
102	266.7441979
103	266.6899034
104	266.3926945
105	266.1666096
106	265.9871439
107	265.7702287
108	265.5804656
109	265.2517759
110	265.1502982
111	264.9650813
112	264.8746674
113	264.6974076
114	264.4148375
115	264.3898551
116	264.1914055
117	263.9963442
118	263.7950773
119	263.6678248
120	263.6030388
121	263.4165026
122	263.2614056
123	262.9989741
124	262.9940326
125	262.8153661
126	262.5903033
127	262.4602744
128	262.2029124
129	261.911818
130	261.7954285
131	261.6419283
132	261.4736206
133	261.2282694
134	261.0078235
135	260.8792953
136	260.635738
137	260.52197
138	260.2283886
139	260.1056961
140	259.89891
141	259.8035444
142	259.6831615
143	259.5660995
144	259.3313321
145	259.3275262
146	259.0269472
147	258.9080432
148	258.776033
149	258.4469982
150	258.3188561
151	258.1898583
152	258.0911204
153	258.0256012
154	257.8807582
155	257.790839
156	257.6047632
157	257.4839075
158	257.2917088
159	257.1812584
160	257.1545926
161	256.9485631
162	256.8070648
163	256.7147551
164	256.5684204
165	256.46943
166	256.4489802
167	256.1817356
168	256.0691349
169	255.8493699
170	255.6361871
171	255.5168908
172	255.3547986
173	255.1928433
174	255.1103925
175	254.9865313
176	254.9835765
177	254.7861378
178	254.6648377
179	254.5087194
180	254.350677
181	254.2245383
182	254.0984362
183	253.9724918
184	253.9038707
185	253.8464747
186	253.7793002
187	253.5873144
188	253.3862599
189	253.2292563
190	253.0447312
191	252.9110931
192	252.6905665
193	252.5599443
194	252.3996792
195	252.1974157
196	252.0685808
197	251.7777271
198	251.5480115
199	251.386913
200	251.20218
201	251.0273748
202	250.9177431
203	250.7908005
204	250.7020496
205	250.6033811
206	250.5005041
207	250.233135
208	250.1517564
209	249.9805981
210	249.8764758
211	249.8135939
212	249.7370302
213	249.6367525
214	249.5461683
215	249.4235721
216	249.267298
217	249.0792587
218	248.9276515
219	248.7960667
220	248.7716455
221	248.6199994
222	248.526567
223	248.4532829
224	248.3722178
225	248.193406
226	248.1007099
227	247.9247816
228	247.9035721
229	247.7823572
230	247.6927712
231	247.5760758
232	247.5653266
233	247.5058331
234	247.4881149
235	247.1649293
236	246.9969288
237	246.9205724
238	246.8213038
239	246.6810277
240	246.6031391
241	246.5242409
242	246.2737997
243	246.2347356
244	246.2198567
245	246.1025477
246	246.0329965
247	245.9690967
248	245.8680164
249	245.7544394
250	245.6292647
