iter	Passed	Remaining
0	56	85023
1	61	45821
2	65	32673
3	70	26447
4	75	22457
5	79	19850
6	83	17904
7	87	16408
8	92	15254
9	96	14330
10	100	13568
11	104	12936
12	108	12421
13	112	11954
14	116	11554
15	120	11205
16	124	10885
17	128	10612
18	133	10387
19	137	10180
20	141	9957
21	145	9741
22	148	9562
23	152	9374
24	154	9093
25	157	8929
26	160	8771
27	163	8620
28	167	8498
29	170	8351
30	173	8224
31	176	8098
32	179	7976
33	182	7859
34	185	7746
35	187	7636
36	190	7535
37	193	7441
38	196	7353
39	199	7267
40	202	7191
41	204	7115
42	207	7036
43	210	6958
44	212	6879
45	215	6806
46	217	6735
47	220	6669
48	223	6608
49	225	6548
50	228	6491
51	231	6437
52	233	6382
53	236	6328
54	238	6276
55	241	6231
56	244	6183
57	246	6138
58	249	6095
59	252	6053
60	254	6012
61	257	5971
62	260	5937
63	262	5900
64	265	5863
65	268	5825
66	270	5792
67	273	5757
68	276	5724
69	278	5693
70	281	5666
71	284	5635
72	286	5604
73	289	5575
74	291	5546
75	294	5518
76	297	5491
77	299	5465
78	302	5440
79	305	5417
80	307	5392
81	310	5368
82	313	5345
83	315	5323
84	318	5302
85	321	5282
86	323	5261
87	326	5240
88	329	5219
89	331	5198
90	334	5177
91	337	5158
92	339	5140
93	343	5130
94	345	5110
95	348	5090
96	350	5070
97	353	5050
98	355	5031
99	358	5012
100	360	4995
101	363	4976
102	365	4956
103	367	4938
104	370	4922
105	373	4905
106	375	4889
107	378	4872
108	380	4856
109	383	4841
110	385	4826
111	388	4810
112	390	4796
113	393	4780
114	395	4768
115	398	4752
116	400	4739
117	403	4725
118	406	4712
119	408	4698
120	411	4686
121	413	4672
122	416	4659
123	418	4647
124	421	4636
125	424	4625
126	426	4616
127	429	4604
128	432	4592
129	434	4579
130	437	4567
131	439	4555
132	442	4544
133	444	4532
134	447	4521
135	449	4509
136	452	4498
137	454	4486
138	457	4475
139	459	4464
140	462	4454
141	464	4444
142	467	4434
143	469	4423
144	472	4414
145	474	4403
146	477	4393
147	479	4382
148	482	4373
149	484	4364
150	487	4354
151	489	4344
152	492	4334
153	494	4325
154	497	4315
155	499	4306
156	502	4297
157	504	4288
158	507	4280
159	509	4270
160	512	4262
161	515	4254
162	517	4245
163	520	4237
164	522	4228
165	525	4220
166	527	4211
167	530	4203
168	532	4194
169	535	4186
170	537	4178
171	540	4170
172	542	4162
173	545	4155
174	547	4148
175	550	4139
176	552	4131
177	555	4124
178	557	4117
179	560	4109
180	563	4102
181	565	4095
182	568	4088
183	570	4081
184	573	4074
185	575	4067
186	578	4059
187	580	4052
188	583	4046
189	585	4039
190	588	4033
191	591	4026
192	593	4019
193	596	4013
194	598	4006
195	601	4000
196	603	3994
197	606	3987
198	608	3980
199	611	3974
200	613	3967
201	616	3961
202	619	3954
203	621	3948
204	624	3942
205	626	3935
206	629	3929
207	631	3923
208	634	3917
209	636	3911
210	639	3905
211	641	3899
212	644	3893
213	646	3887
214	649	3881
215	651	3875
216	654	3868
217	656	3863
218	659	3857
219	662	3851
220	664	3846
221	667	3840
222	669	3834
223	672	3828
224	674	3823
225	677	3818
226	680	3813
227	682	3807
228	685	3801
229	687	3796
230	689	3790
231	692	3785
232	695	3779
233	697	3774
234	700	3769
235	702	3763
236	705	3758
237	707	3753
238	710	3747
239	712	3742
240	715	3737
241	717	3731
242	720	3726
243	723	3722
244	725	3716
245	728	3711
246	730	3705
247	733	3701
248	735	3696
249	738	3691
250	740	3685
251	743	3681
252	745	3675
253	748	3670
254	750	3665
255	753	3660
256	755	3655
257	758	3651
258	760	3646
259	763	3641
260	766	3636
261	768	3631
262	771	3626
263	773	3621
264	776	3617
265	778	3612
266	781	3608
267	783	3603
268	786	3598
269	788	3594
270	791	3589
271	794	3585
272	796	3580
273	799	3575
274	801	3570
275	804	3566
276	806	3561
277	809	3556
278	811	3551
279	813	3546
280	816	3541
281	818	3536
282	821	3531
283	823	3527
284	826	3522
285	828	3517
286	831	3512
287	833	3507
288	836	3503
289	838	3498
290	841	3494
291	843	3490
292	846	3487
293	849	3484
294	851	3479
295	854	3474
296	856	3470
297	859	3465
298	861	3461
299	864	3456
300	866	3451
301	869	3447
302	871	3442
303	873	3438
304	876	3433
305	878	3429
306	881	3425
307	883	3421
308	886	3416
309	889	3412
310	891	3408
311	893	3403
312	896	3399
313	898	3395
314	901	3391
315	904	3387
316	906	3384
317	909	3379
318	911	3375
319	914	3371
320	916	3367
321	919	3362
322	921	3358
323	924	3354
324	926	3350
325	929	3346
326	931	3341
327	934	3338
328	936	3334
329	939	3330
330	941	3326
331	944	3322
332	946	3318
333	949	3313
334	951	3309
335	954	3305
336	956	3301
337	959	3298
338	962	3294
339	964	3290
340	967	3286
341	969	3282
342	972	3279
343	974	3275
344	977	3271
345	979	3267
346	982	3263
347	984	3259
348	987	3255
349	989	3251
350	992	3247
351	994	3243
352	997	3239
353	999	3235
354	1001	3231
355	1004	3227
356	1006	3223
357	1009	3219
358	1011	3215
359	1014	3212
360	1016	3208
361	1019	3204
362	1021	3200
363	1024	3196
364	1026	3193
365	1029	3189
366	1031	3185
367	1034	3182
368	1036	3178
369	1039	3174
370	1041	3170
371	1044	3167
372	1047	3163
373	1049	3160
374	1052	3156
375	1054	3153
376	1057	3149
377	1059	3145
378	1062	3142
379	1064	3138
380	1067	3135
381	1069	3131
382	1072	3128
383	1075	3124
384	1077	3121
385	1080	3117
386	1082	3114
387	1085	3110
388	1087	3106
389	1090	3103
390	1092	3099
391	1095	3095
392	1097	3091
393	1100	3088
394	1102	3084
395	1105	3081
396	1107	3077
397	1110	3074
398	1112	3070
399	1115	3067
400	1117	3063
401	1120	3059
402	1122	3056
403	1125	3052
404	1127	3049
405	1130	3045
406	1132	3042
407	1135	3038
408	1137	3035
409	1140	3031
410	1142	3028
411	1145	3024
412	1147	3021
413	1150	3017
414	1152	3014
415	1155	3010
416	1157	3007
417	1160	3003
418	1162	2999
419	1165	2996
420	1167	2992
421	1171	2991
422	1174	2990
423	1177	2987
424	1179	2984
425	1182	2981
426	1185	2977
427	1187	2974
428	1190	2971
429	1192	2967
430	1195	2964
431	1197	2961
432	1200	2958
433	1202	2954
434	1205	2950
435	1207	2947
436	1210	2944
437	1213	2941
438	1215	2938
439	1218	2935
440	1221	2932
441	1223	2929
442	1226	2925
443	1228	2922
444	1231	2918
445	1233	2914
446	1235	2911
447	1238	2907
448	1240	2904
449	1243	2900
450	1245	2897
451	1248	2893
452	1250	2890
453	1253	2887
454	1255	2883
455	1258	2880
456	1260	2877
457	1263	2874
458	1265	2870
459	1268	2867
460	1270	2863
461	1273	2860
462	1275	2857
463	1278	2853
464	1280	2850
465	1283	2847
466	1285	2843
467	1288	2840
468	1290	2837
469	1293	2833
470	1295	2830
471	1298	2827
472	1300	2823
473	1303	2820
474	1305	2817
475	1308	2813
476	1310	2810
477	1313	2807
478	1315	2804
479	1318	2800
480	1320	2797
481	1323	2794
482	1325	2791
483	1328	2787
484	1330	2784
485	1332	2780
486	1335	2777
487	1337	2774
488	1340	2771
489	1343	2768
490	1345	2765
491	1348	2762
492	1350	2758
493	1353	2755
494	1355	2752
495	1358	2749
496	1360	2746
497	1363	2743
498	1366	2740
499	1368	2737
500	1371	2734
501	1373	2731
502	1376	2728
503	1378	2725
504	1381	2721
505	1384	2718
506	1386	2715
507	1389	2712
508	1391	2709
509	1394	2706
510	1396	2702
511	1399	2700
512	1401	2696
513	1404	2693
514	1406	2690
515	1409	2687
516	1411	2684
517	1414	2681
518	1417	2678
519	1419	2675
520	1422	2672
521	1424	2669
522	1427	2666
523	1429	2663
524	1432	2659
525	1434	2656
526	1437	2653
527	1439	2650
528	1442	2647
529	1444	2643
530	1447	2640
531	1449	2637
532	1452	2634
533	1454	2631
534	1457	2628
535	1459	2625
536	1462	2622
537	1464	2618
538	1467	2615
539	1469	2612
540	1472	2609
541	1474	2606
542	1477	2603
543	1479	2600
544	1482	2597
545	1484	2594
546	1487	2591
547	1489	2588
548	1492	2585
549	1494	2582
550	1497	2579
551	1499	2576
552	1502	2572
553	1504	2569
554	1507	2566
555	1509	2563
556	1512	2560
557	1514	2557
558	1517	2554
559	1519	2551
560	1522	2548
561	1524	2545
562	1527	2541
563	1529	2538
564	1532	2536
565	1535	2533
566	1537	2530
567	1540	2527
568	1542	2524
569	1545	2521
570	1547	2518
571	1550	2514
572	1552	2511
573	1555	2508
574	1557	2505
575	1560	2502
576	1562	2499
577	1565	2496
578	1567	2493
579	1570	2490
580	1572	2487
581	1575	2484
582	1577	2481
583	1580	2478
584	1582	2475
585	1585	2472
586	1588	2470
587	1591	2467
588	1593	2465
589	1596	2462
590	1598	2459
591	1601	2455
592	1603	2452
593	1606	2449
594	1608	2446
595	1611	2444
596	1613	2441
597	1616	2438
598	1618	2435
599	1621	2432
600	1623	2429
601	1626	2426
602	1628	2423
603	1631	2420
604	1633	2417
605	1636	2414
606	1639	2411
607	1641	2408
608	1644	2405
609	1646	2402
610	1649	2399
611	1651	2396
612	1654	2393
613	1656	2390
614	1659	2387
615	1661	2384
616	1664	2381
617	1666	2378
618	1669	2375
619	1671	2372
620	1674	2369
621	1676	2367
622	1679	2364
623	1682	2361
624	1684	2358
625	1687	2355
626	1689	2352
627	1692	2349
628	1694	2346
629	1697	2343
630	1699	2340
631	1702	2338
632	1704	2334
633	1707	2331
634	1709	2329
635	1712	2326
636	1715	2323
637	1717	2320
638	1720	2317
639	1722	2314
640	1725	2311
641	1727	2309
642	1730	2306
643	1732	2303
644	1735	2300
645	1737	2297
646	1740	2294
647	1742	2291
648	1745	2288
649	1748	2285
650	1750	2282
651	1752	2279
652	1755	2277
653	1758	2274
654	1760	2271
655	1763	2268
656	1765	2265
657	1768	2262
658	1770	2259
659	1773	2256
660	1775	2253
661	1778	2251
662	1780	2248
663	1783	2245
664	1785	2242
665	1788	2239
666	1790	2236
667	1793	2233
668	1795	2230
669	1798	2227
670	1800	2224
671	1803	2221
672	1805	2218
673	1808	2215
674	1810	2213
675	1813	2210
676	1815	2207
677	1818	2204
678	1820	2201
679	1823	2198
680	1825	2195
681	1828	2192
682	1830	2190
683	1833	2187
684	1835	2184
685	1838	2181
686	1841	2178
687	1843	2175
688	1846	2172
689	1848	2169
690	1851	2167
691	1853	2164
692	1856	2161
693	1858	2158
694	1861	2155
695	1863	2152
696	1866	2150
697	1868	2147
698	1871	2144
699	1873	2141
700	1876	2138
701	1878	2135
702	1881	2132
703	1883	2129
704	1886	2127
705	1888	2124
706	1891	2121
707	1893	2118
708	1896	2115
709	1898	2112
710	1901	2109
711	1903	2106
712	1906	2104
713	1908	2101
714	1911	2098
715	1913	2095
716	1916	2092
717	1918	2089
718	1921	2086
719	1923	2084
720	1926	2081
721	1928	2078
722	1931	2075
723	1933	2072
724	1936	2069
725	1938	2067
726	1941	2064
727	1944	2061
728	1946	2058
729	1949	2055
730	1951	2052
731	1954	2050
732	1956	2047
733	1959	2044
734	1961	2041
735	1964	2039
736	1967	2036
737	1969	2033
738	1972	2030
739	1974	2028
740	1977	2025
741	1979	2022
742	1982	2019
743	1985	2017
744	1987	2014
745	1989	2011
746	1992	2008
747	1994	2005
748	1997	2002
749	1999	1999
750	2002	1996
751	2004	1994
752	2007	1991
753	2009	1988
754	2012	1985
755	2014	1982
756	2017	1979
757	2019	1977
758	2022	1974
759	2024	1971
760	2027	1968
761	2029	1965
762	2032	1962
763	2034	1959
764	2037	1957
765	2039	1954
766	2042	1951
767	2044	1948
768	2047	1945
769	2049	1943
770	2052	1940
771	2054	1937
772	2057	1934
773	2059	1931
774	2062	1928
775	2064	1926
776	2066	1923
777	2069	1920
778	2071	1917
779	2074	1914
780	2076	1911
781	2079	1909
782	2081	1906
783	2084	1903
784	2086	1900
785	2089	1897
786	2091	1895
787	2094	1892
788	2096	1889
789	2099	1886
790	2101	1884
791	2104	1881
792	2106	1878
793	2109	1875
794	2111	1872
795	2114	1869
796	2116	1866
797	2119	1864
798	2121	1861
799	2124	1858
800	2126	1855
801	2128	1852
802	2131	1849
803	2133	1847
804	2136	1844
805	2138	1841
806	2141	1838
807	2143	1836
808	2146	1833
809	2148	1830
810	2151	1827
811	2153	1824
812	2156	1822
813	2158	1819
814	2161	1816
815	2163	1813
816	2166	1810
817	2168	1808
818	2171	1805
819	2173	1802
820	2176	1799
821	2178	1797
822	2181	1794
823	2183	1791
824	2186	1788
825	2188	1785
826	2191	1783
827	2194	1780
828	2196	1778
829	2199	1775
830	2201	1772
831	2204	1769
832	2206	1767
833	2209	1764
834	2212	1761
835	2214	1759
836	2217	1756
837	2219	1753
838	2222	1750
839	2224	1747
840	2226	1744
841	2229	1742
842	2231	1739
843	2234	1736
844	2237	1734
845	2239	1731
846	2242	1728
847	2244	1725
848	2247	1723
849	2249	1720
850	2252	1717
851	2254	1714
852	2257	1711
853	2259	1709
854	2262	1706
855	2264	1703
856	2267	1701
857	2270	1698
858	2272	1695
859	2275	1693
860	2277	1690
861	2280	1687
862	2282	1684
863	2285	1682
864	2287	1679
865	2290	1676
866	2292	1673
867	2295	1671
868	2297	1668
869	2300	1665
870	2302	1662
871	2305	1660
872	2307	1657
873	2310	1654
874	2312	1651
875	2315	1649
876	2317	1646
877	2320	1643
878	2322	1640
879	2325	1638
880	2327	1635
881	2329	1632
882	2332	1629
883	2334	1627
884	2337	1624
885	2339	1621
886	2342	1618
887	2344	1616
888	2347	1613
889	2349	1610
890	2352	1607
891	2354	1605
892	2357	1602
893	2359	1599
894	2362	1596
895	2364	1594
896	2367	1591
897	2369	1588
898	2372	1585
899	2374	1583
900	2377	1580
901	2379	1577
902	2382	1574
903	2384	1572
904	2387	1569
905	2390	1567
906	2392	1564
907	2395	1561
908	2397	1558
909	2400	1556
910	2402	1553
911	2405	1550
912	2407	1547
913	2410	1545
914	2412	1542
915	2415	1539
916	2417	1537
917	2420	1534
918	2422	1531
919	2425	1528
920	2427	1526
921	2430	1523
922	2432	1520
923	2435	1517
924	2437	1515
925	2440	1512
926	2442	1509
927	2445	1507
928	2447	1504
929	2450	1501
930	2452	1499
931	2455	1496
932	2457	1493
933	2460	1490
934	2462	1488
