iter	RMSE
0	483.5981998
1	468.3103007
2	454.1362224
3	440.7412653
4	428.7230016
5	417.6829897
6	407.5590403
7	398.3710277
8	389.601949
9	382.0472161
10	375.3097797
11	368.9843954
12	363.3125906
13	357.8393794
14	352.9192494
15	348.297845
16	344.2676953
17	340.6298515
18	337.0271088
19	333.7858775
20	331.0866532
21	328.5722516
22	326.1067194
23	323.8106278
24	321.7202605
25	319.9019451
26	318.1558348
27	316.5870752
28	315.1523527
29	313.8369522
30	312.5956878
31	311.5327403
32	310.4635734
33	309.489981
34	308.5845022
35	307.7616737
36	307.0985693
37	306.3979814
38	305.9563095
39	305.3617819
40	304.9043839
41	304.4251861
42	303.9310551
43	303.4880798
44	303.0724098
45	302.6721899
46	302.3759084
47	302.0344684
48	301.731478
49	301.4226623
50	301.2035831
51	300.8740466
52	300.6211521
53	300.3932405
54	300.151606
55	299.9089662
56	299.707261
57	299.5518578
58	299.3519314
59	299.1626439
60	298.9881287
61	298.7543637
62	298.5742435
63	298.392275
64	298.2694056
65	298.0730314
66	297.9129293
67	297.7889436
68	297.6085627
69	297.4908435
70	297.337851
71	297.2208476
72	297.0972806
73	296.9847715
74	296.8559651
75	296.7298777
76	296.6196969
77	296.5022319
78	296.3697479
79	296.2762885
80	296.1646399
81	296.0451619
82	295.9495082
83	295.7642546
84	295.6489491
85	295.572304
86	295.4635965
87	295.3223998
88	295.2321449
89	295.1337797
90	294.9307294
91	294.8443591
92	294.7773831
93	294.73039
94	294.6384728
95	294.5560734
96	294.4946662
97	294.3667969
98	294.2581076
99	294.1841743
100	294.1008968
101	294.0113884
102	293.8968186
103	293.8332971
104	293.7382594
105	293.6642373
106	293.5747665
107	293.4818282
108	293.3744181
109	293.3081933
110	293.2136562
111	293.1409334
112	293.0776111
113	293.0005977
114	292.9048202
115	292.7635332
116	292.6974663
117	292.6324395
118	292.5354452
119	292.4923832
120	292.4119081
121	292.3546158
122	292.2792078
123	292.2351266
124	292.1148425
125	292.054606
126	291.9747746
127	291.93013
128	291.8728974
129	291.8272094
130	291.7660745
131	291.7058034
132	291.6540154
133	291.578517
134	291.5057426
135	291.3948677
136	291.3438765
137	291.3404253
138	291.249574
139	291.1774679
140	291.0466826
141	290.9849959
142	290.9167681
143	290.8479657
144	290.7861118
145	290.7090405
146	290.6562348
147	290.5705358
148	290.5198259
149	290.4548916
150	290.3699803
151	290.2643411
152	290.135398
153	290.0789732
154	289.9874375
155	289.8604206
156	289.753545
157	289.7139713
158	289.6364275
159	289.5725532
160	289.5150892
161	289.4384597
162	289.3825317
163	289.3017236
164	289.1496868
165	289.0598509
166	289.0037131
167	288.9697805
168	288.9044611
169	288.8680597
170	288.8242536
171	288.8087646
172	288.7817003
173	288.7548931
174	288.6639372
175	288.5802452
176	288.5072786
177	288.4505703
178	288.3258922
179	288.2674059
180	288.2114784
181	288.1469259
182	288.0339589
183	287.9472676
184	287.903445
185	287.8491612
186	287.7479085
187	287.6823917
188	287.6225152
189	287.5876587
190	287.5221333
191	287.4155776
192	287.3550821
193	287.3069675
194	287.1764429
195	287.0998531
196	287.0492509
197	286.9943665
198	286.9100086
199	286.8638548
200	286.8264237
201	286.7589066
202	286.7143687
203	286.6808929
204	286.6530215
205	286.5636642
206	286.4881864
207	286.4159993
208	286.2980496
209	286.2197016
210	286.150109
211	286.127349
212	286.1038262
213	286.0201397
214	285.9240794
215	285.8676964
216	285.7858119
217	285.725094
218	285.634648
219	285.572863
220	285.5260537
221	285.4643239
222	285.4002083
223	285.3798661
224	285.3239585
225	285.2805831
226	285.2343625
227	285.200455
228	285.0743556
229	285.0249859
230	284.958066
231	284.8772368
232	284.8105638
233	284.7276069
234	284.6443669
235	284.553251
236	284.5001709
237	284.4814941
238	284.413467
239	284.3947091
240	284.295206
241	284.2520518
242	284.207083
243	284.1504596
244	284.1036224
245	284.036169
246	283.9785531
247	283.8997343
248	283.8196795
249	283.7240714
250	283.6371681
251	283.5907799
252	283.5282889
253	283.456634
254	283.3745779
255	283.3271865
256	283.2547259
257	283.2070157
258	283.1479575
259	283.0977453
260	283.0694129
261	283.0259843
262	282.9668071
263	282.9083111
264	282.8746794
265	282.7909302
266	282.6923342
267	282.6042817
268	282.550721
269	282.4823779
270	282.4279087
271	282.369881
272	282.3347287
273	282.3268251
274	282.2523266
275	282.1827101
276	282.1267136
277	282.1073173
278	282.0358521
279	281.9797854
280	281.9125865
281	281.8659299
282	281.8504756
283	281.7596622
284	281.6311427
285	281.5862894
286	281.5827071
287	281.5517729
288	281.4769594
289	281.4414093
290	281.3741453
291	281.3284678
292	281.2499583
293	281.1784595
294	281.151162
295	281.1225235
296	281.0495685
297	280.9942991
298	280.9420017
299	280.8562011
300	280.8043115
301	280.7567812
302	280.6931071
303	280.6308882
304	280.5759231
305	280.5322977
306	280.4656449
307	280.4128544
308	280.3634375
309	280.3309492
310	280.2895338
311	280.2297642
312	280.1783814
313	280.1246373
314	280.0793564
315	280.0149355
316	279.9740079
317	279.9264283
318	279.8954773
319	279.8599595
320	279.8035757
321	279.7648847
322	279.7104294
323	279.6531911
324	279.590682
325	279.546108
326	279.4817439
327	279.4615997
328	279.4285615
329	279.3400938
330	279.2966485
331	279.2253336
332	279.2050787
333	279.1448041
334	279.0932587
335	279.0374182
336	279.004613
337	278.9632067
338	278.931602
339	278.853166
340	278.8027059
341	278.7788501
342	278.7300916
343	278.691124
344	278.6535763
345	278.5861665
346	278.5369576
347	278.4873741
348	278.4266588
349	278.3825953
350	278.3216996
351	278.2919204
352	278.2247143
353	278.2086239
354	278.1437192
355	278.0838365
356	278.0131431
357	277.9578397
358	277.9055899
359	277.8582846
360	277.7985805
361	277.746206
362	277.6987035
363	277.646641
364	277.5808099
365	277.5381509
366	277.4562675
367	277.419604
368	277.3550601
369	277.3432076
370	277.2858064
371	277.250539
372	277.2106938
373	277.1470492
374	277.0824475
375	277.0238478
376	276.9508764
377	276.908897
378	276.8737337
379	276.819334
380	276.7290328
381	276.6920531
382	276.6722518
383	276.6258267
384	276.5530422
385	276.5070822
386	276.4709566
387	276.4299817
388	276.3838837
389	276.3285205
390	276.3183444
391	276.2510034
392	276.2465266
393	276.2408565
394	276.1798029
395	276.0947295
396	276.0291667
397	275.9612821
398	275.8645929
399	275.8371685
400	275.739503
401	275.6782453
402	275.6460754
403	275.5645245
404	275.5138351
405	275.4931518
406	275.4723921
407	275.4494104
408	275.4242299
409	275.3420533
410	275.2691102
411	275.2501487
412	275.2293629
413	275.1982023
414	275.1638945
415	275.0997585
416	275.0717097
417	275.0042257
418	274.9357521
419	274.8632401
420	274.8227509
421	274.7463764
422	274.7218411
423	274.6742962
424	274.6194641
425	274.5557539
426	274.5191767
427	274.4916245
428	274.4662103
429	274.418494
430	274.3556731
431	274.3062719
432	274.2478271
433	274.2185982
434	274.1893541
435	274.1627283
436	274.150057
437	274.1267784
438	274.0710072
439	274.0249989
440	273.9701174
441	273.9608658
442	273.9415778
443	273.8689402
444	273.8245992
445	273.7748731
446	273.7061523
447	273.651118
448	273.6176625
449	273.5574718
450	273.5314194
451	273.5017289
452	273.4395737
453	273.3860044
454	273.3326869
455	273.2864781
456	273.2398694
457	273.2182875
458	273.1860359
459	273.1348477
460	273.1013461
461	273.0574517
462	273.0114372
463	272.9720878
464	272.916061
465	272.9085158
466	272.8532398
467	272.8417745
468	272.8029323
469	272.7681471
470	272.7524036
471	272.7038508
472	272.6354314
473	272.5950862
474	272.5498299
475	272.5020783
476	272.4453423
477	272.4015721
478	272.3991602
479	272.3637235
480	272.3613432
481	272.3064981
482	272.2772857
483	272.2616064
484	272.2213481
485	272.1776049
486	272.1546617
487	272.1166467
488	272.08752
489	272.0219359
490	272.0134658
491	271.967488
492	271.9273717
493	271.8789542
494	271.8487332
495	271.8025563
496	271.7854044
497	271.7513861
498	271.714519
499	271.6563773
500	271.595145
501	271.5539111
502	271.5278716
503	271.5099573
504	271.4837686
505	271.4354448
506	271.4198157
507	271.3717088
508	271.3206957
509	271.2799196
510	271.2530474
511	271.1996246
512	271.1566143
513	271.0992097
514	271.0581273
515	271.0255195
516	270.9960125
517	270.9773544
518	270.9620486
519	270.9247272
520	270.9033261
521	270.8850332
522	270.8416181
523	270.7990869
524	270.7575393
525	270.7558287
526	270.7313184
527	270.6915712
528	270.6712208
529	270.5952253
530	270.570086
531	270.5619946
532	270.515238
533	270.4587431
534	270.4117541
535	270.399967
536	270.3772629
537	270.3132736
538	270.2790387
539	270.2502433
540	270.2129114
541	270.1815998
542	270.1302014
543	270.0776749
544	270.0272818
545	270.0102464
546	269.9480072
547	269.9099366
548	269.8520493
549	269.818071
550	269.7835808
551	269.7302559
552	269.7179881
553	269.6807884
554	269.65472
555	269.6211644
556	269.5810686
557	269.5436669
558	269.5220663
559	269.483657
560	269.4585033
561	269.4183443
562	269.36557
563	269.3318523
564	269.3112093
565	269.293465
566	269.2487269
567	269.1985368
568	269.1487414
569	269.0926143
570	269.0599122
571	269.0291248
572	268.9963307
573	268.9723147
574	268.9492814
575	268.9118231
576	268.8878646
577	268.8435209
578	268.7993182
579	268.7417223
580	268.6915139
581	268.6705317
582	268.6384306
583	268.5987424
584	268.5839169
585	268.5489899
586	268.5320209
587	268.4875654
588	268.4698005
589	268.4248026
590	268.3975889
591	268.352527
592	268.3421322
593	268.3287596
594	268.309201
595	268.2617699
596	268.202215
597	268.166898
598	268.1434503
599	268.1332746
600	268.1186037
601	268.0770874
