iter	Passed	Remaining
0	5	10114
1	9	9583
2	14	9325
3	18	9290
4	23	9281
5	27	9229
6	31	9077
7	36	9006
8	40	8886
9	44	8827
10	48	8743
11	52	8668
12	56	8614
13	60	8540
14	64	8516
15	68	8525
16	72	8510
17	77	8488
18	81	8480
19	85	8444
20	89	8407
21	93	8379
22	97	8402
23	101	8397
24	106	8401
25	111	8444
26	115	8470
27	120	8471
28	124	8460
29	130	8574
30	135	8588
31	140	8644
32	145	8689
33	150	8719
34	155	8702
35	160	8769
36	166	8807
37	170	8813
38	175	8812
39	180	8866
40	184	8817
41	189	8816
42	194	8840
43	198	8845
44	203	8832
45	207	8825
46	212	8815
47	216	8806
48	220	8792
49	225	8808
50	230	8817
51	235	8803
52	239	8787
53	243	8782
54	247	8764
55	252	8750
56	256	8736
57	260	8736
58	265	8726
59	269	8714
60	273	8708
61	278	8698
62	282	8688
63	286	8674
64	291	8677
65	296	8675
66	300	8671
67	304	8658
68	309	8655
69	313	8646
70	317	8638
71	324	8689
72	328	8681
73	334	8697
74	339	8711
75	343	8702
76	348	8692
77	352	8682
78	357	8687
79	361	8673
80	365	8663
81	369	8646
82	373	8634
83	377	8621
84	381	8605
85	386	8593
86	390	8587
87	395	8583
88	399	8585
89	404	8591
90	409	8584
91	413	8572
92	417	8560
93	422	8572
94	428	8586
95	432	8578
96	437	8577
97	441	8577
98	448	8604
99	453	8625
100	458	8624
101	463	8624
102	468	8624
103	472	8616
104	476	8608
105	481	8601
106	486	8611
107	491	8616
108	496	8608
109	501	8613
110	506	8614
111	510	8608
112	515	8616
113	520	8616
114	525	8609
115	529	8603
116	534	8596
117	538	8591
118	543	8586
119	548	8587
120	552	8577
121	556	8565
122	560	8554
123	564	8544
124	568	8531
125	572	8520
126	576	8508
127	581	8505
128	585	8493
129	589	8482
130	593	8471
131	598	8465
132	602	8454
133	606	8446
134	610	8440
135	615	8439
136	620	8433
137	625	8433
138	629	8431
139	634	8428
140	638	8423
141	643	8416
142	648	8416
143	653	8419
144	658	8418
145	662	8416
146	667	8410
147	671	8401
148	675	8392
149	680	8393
150	684	8386
151	689	8378
152	693	8372
153	697	8366
154	702	8358
155	706	8348
156	711	8348
157	715	8343
158	719	8336
159	724	8330
160	728	8323
161	732	8316
162	737	8310
163	742	8308
164	746	8304
165	750	8295
166	755	8288
167	759	8285
168	763	8277
169	768	8269
170	772	8262
171	777	8259
172	781	8248
173	785	8240
174	789	8237
175	794	8233
176	798	8228
177	803	8222
178	808	8223
179	812	8217
180	816	8210
181	821	8204
182	825	8198
183	829	8191
184	834	8183
185	838	8177
186	842	8172
187	847	8167
188	851	8161
189	856	8156
190	860	8148
191	864	8141
192	868	8134
193	873	8134
194	878	8130
195	882	8124
196	887	8119
197	891	8113
198	896	8110
199	900	8105
200	905	8104
201	911	8109
202	916	8111
203	921	8109
204	925	8105
205	930	8102
206	936	8109
207	941	8107
208	945	8103
209	950	8099
210	955	8097
211	960	8100
212	964	8095
213	970	8100
214	975	8099
215	979	8092
216	984	8085
217	988	8077
218	992	8071
219	996	8062
220	1000	8057
221	1005	8052
222	1009	8045
223	1013	8038
224	1018	8031
225	1022	8024
226	1026	8015
227	1030	8007
228	1035	8006
229	1039	8000
230	1043	7992
231	1047	7983
232	1051	7977
233	1055	7968
234	1059	7959
235	1063	7952
236	1068	7947
237	1072	7941
238	1076	7934
239	1081	7928
240	1085	7921
241	1090	7919
242	1094	7914
243	1100	7916
244	1104	7910
245	1108	7905
246	1113	7901
247	1117	7895
248	1122	7890
249	1126	7885
250	1131	7883
251	1136	7883
252	1140	7878
253	1145	7871
254	1149	7865
255	1153	7860
256	1158	7854
257	1162	7851
258	1166	7843
259	1171	7836
260	1175	7829
261	1179	7823
262	1183	7817
263	1188	7812
264	1192	7806
265	1197	7804
266	1201	7798
267	1205	7792
268	1210	7787
269	1214	7782
270	1218	7776
271	1223	7770
272	1227	7765
273	1231	7759
274	1235	7751
275	1239	7745
276	1244	7739
277	1248	7733
278	1252	7726
279	1256	7720
280	1261	7717
281	1265	7712
282	1270	7706
283	1274	7701
284	1278	7694
285	1282	7687
286	1286	7681
287	1290	7673
288	1295	7670
289	1299	7665
290	1304	7659
291	1308	7653
292	1312	7645
293	1316	7638
294	1320	7631
295	1324	7627
296	1329	7620
297	1333	7614
298	1337	7608
299	1342	7605
300	1346	7602
301	1352	7601
302	1357	7602
303	1362	7599
304	1366	7595
305	1371	7592
306	1376	7589
307	1380	7586
308	1385	7582
309	1392	7589
310	1397	7588
311	1402	7588
312	1407	7587
313	1412	7584
